shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S04,41.970361,-91.660105,0,
S04,41.971156,-91.66091,1,
S04,41.97205,-91.6618,2,
S04,41.972847,-91.662619,3,
S04,41.973473,-91.661515,4,
S04,41.974782,-91.659246,5,
S04,41.975415,-91.65818,6,
S04,41.975429,-91.658157,7,
S04,41.976048,-91.657079,8,
S04,41.976674,-91.655953,9,
S04,41.977283,-91.654896,10,
S04,41.977915,-91.653816,11,
S04,41.978008,-91.653602,12,
S04,41.978045,-91.65347,13,
S04,41.978074,-91.653195,14,
S04,41.977791,-91.652024,15,
S04,41.977764,-91.651922,16,
S04,41.977474,-91.650366,17,
S04,41.979584,-91.650451,18,
S04,41.9806,-91.650455,19,
S04,41.981612,-91.650489,20,
S04,41.982639,-91.6505,21,
S04,41.98369,-91.650524,22,
S04,41.984759,-91.650461,23,
S04,41.985765,-91.650475,24,
S04,41.986295,-91.650434,25,
S04,41.986319,-91.650446,26,
S04,41.986396,-91.650509,27,
S04,41.987246,-91.651386,28,
S04,41.988125,-91.652298,29,
S04,41.989005,-91.653184,30,
S04,41.98986,-91.654041,31,
S04,41.991008,-91.652049,32,
S04,41.992041,-91.65026,33,
S04,41.992873,-91.651169,34,
S04,41.993707,-91.651999,35,
S04,41.994551,-91.65285,36,
S04,41.995373,-91.653671,37,
S04,41.995806,-91.654131,38,
S04,41.995876,-91.654199,39,
S04,41.995907,-91.654224,40,
S04,41.99595,-91.65425,41,
S04,41.996035,-91.654265,42,
S04,41.996131,-91.654269,43,
S04,41.99737,-91.654286,44,
S04,41.998363,-91.654282,45,
S04,41.999392,-91.654263,46,
S04,42.000189,-91.654354,47,
S04,42.000378,-91.654431,48,
S04,42.000941,-91.65478,49,
S04,42.001098,-91.654897,50,
S04,42.001204,-91.654976,51,
S04,42.001493,-91.655181,52,
S04,42.00163,-91.655254,53,
S04,42.001806,-91.655324,54,
S04,42.001882,-91.655337,55,
S04,42.001963,-91.655335,56,
S04,42.002267,-91.655298,57,
S04,42.00255,-91.655242,58,
S04,42.002866,-91.655173,59,
S04,42.003628,-91.654961,60,
S04,42.003739,-91.654921,61,
S04,42.003864,-91.654871,62,
S04,42.004031,-91.654787,63,
S04,42.004173,-91.654715,64,
S04,42.004378,-91.654641,65,
S04,42.005058,-91.65266,66,
S04,42.005715,-91.652892,67,
S04,42.006639,-91.652914,68,
S04,42.007545,-91.652913,69,
S04,42.008436,-91.652942,70,
S04,42.008947,-91.652963,71,
S04,42.009041,-91.652955,72,
S04,42.009127,-91.652936,73,
S04,42.009193,-91.652914,74,
S04,42.00925,-91.652869,75,
S04,42.009351,-91.652762,76,
S04,42.009534,-91.652569,77,
S04,42.009676,-91.652469,78,
S04,42.009732,-91.652453,79,
S04,42.009806,-91.652432,80,
S04,42.009878,-91.652425,81,
S04,42.010239,-91.65242,82,
S04,42.011189,-91.652443,83,
