shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S05N,41.970361,-91.660105,0,
S05N,41.971007,-91.658993,1,
S05N,41.971808,-91.659821,2,
S05N,41.972663,-91.660692,3,
S05N,41.973473,-91.661515,4,
S05N,41.974297,-91.662396,5,
S05N,41.975121,-91.663236,6,
S05N,41.97595,-91.664099,7,
S05N,41.976812,-91.664936,8,
S05N,41.977621,-91.66582,9,
S05N,41.978485,-91.666699,10,
S05N,41.97937,-91.667584,11,
S05N,41.980038,-91.666426,12,
S05N,41.980621,-91.665376,13,
S05N,41.981291,-91.664236,14,
S05N,41.981927,-91.66311,15,
S05N,41.982558,-91.662021,16,
S05N,41.983833,-91.659801,17,
S05N,41.984486,-91.658671,18,
S05N,41.985011,-91.657793,19,
S05N,41.985132,-91.657613,20,
S05N,41.985194,-91.657514,21,
S05N,41.986263,-91.655557,22,
S05N,41.987194,-91.65392,23,
S05N,41.988125,-91.652298,24,
S05N,41.989067,-91.650652,25,
S05N,41.98929,-91.650268,26,
S05N,41.989589,-91.649742,27,
S05N,41.98971,-91.649541,28,
S05N,41.990312,-91.64851,29,
S05N,41.990646,-91.647902,30,
S05N,41.991425,-91.646552,31,
S05N,41.991584,-91.646265,32,
S05N,41.992774,-91.644242,33,
S05N,41.993485,-91.642958,34,
S05N,41.994711,-91.640767,35,
S05N,41.995935,-91.638843,36,
S05N,41.996281,-91.638397,37,
S05N,41.996506,-91.638154,38,
S05N,41.996826,-91.637876,39,
S05N,41.996988,-91.637727,40,
S05N,41.997743,-91.637185,41,
S05N,41.998591,-91.636732,42,
S05N,41.999199,-91.636464,43,
S05N,41.999946,-91.636172,44,
S05N,42.000221,-91.636059,45,
S05N,42.000375,-91.635986,46,
S05N,42.001235,-91.6356,47,
S05N,42.00229,-91.635163,48,
S05N,42.003295,-91.634744,49,
S05N,42.003437,-91.634682,50,
S05N,42.005141,-91.634759,51,
S05N,42.006168,-91.634763,52,
S05N,42.007333,-91.634833,53,
S05N,42.0078,-91.63485,54,
S05N,42.008262,-91.634865,55,
S05N,42.008637,-91.63489,56,
S05N,42.009834,-91.634892,57,
S05N,42.010979,-91.634982,58,
S05N,42.01115,-91.634982,59,
S05N,42.01221,-91.635002,60,
S05N,42.012329,-91.635005,61,
S05N,42.013432,-91.635033,62,
S05N,42.013733,-91.635046,63,
S05N,42.014248,-91.635059,64,
S05N,42.014654,-91.635066,65,
S05N,42.014868,-91.635069,66,
S05N,42.014962,-91.635073,67,
S05N,42.01515,-91.635064,68,
S05N,42.015255,-91.635054,69,
S05N,42.015409,-91.635038,70,
S05N,42.015673,-91.634993,71,
S05N,42.015882,-91.634942,72,
S05N,42.015957,-91.634923,73,
S05N,42.016301,-91.634807,74,
S05N,42.016549,-91.634702,75,
S05N,42.016667,-91.634645,76,
