shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S05S,41.970361,-91.660105,0,
S05S,41.971156,-91.66091,1,
S05S,41.97205,-91.6618,2,
S05S,41.972847,-91.662619,3,
S05S,41.973473,-91.661515,4,
S05S,41.974297,-91.662396,5,
S05S,41.975121,-91.663236,6,
S05S,41.97595,-91.664099,7,
S05S,41.976812,-91.664936,8,
S05S,41.977621,-91.66582,9,
S05S,41.978485,-91.666699,10,
S05S,41.97937,-91.667584,11,
S05S,42.023293,-91.626304,12,
S05S,42.022935,-91.627574,13,
S05S,42.022832,-91.627952,14,
S05S,42.022755,-91.628212,15,
S05S,42.022681,-91.628439,16,
S05S,42.022603,-91.62867,17,
S05S,42.022417,-91.629115,18,
S05S,42.022211,-91.629533,19,
S05S,42.02216,-91.629615,20,
S05S,42.02197,-91.629927,21,
S05S,42.021715,-91.630272,22,
S05S,42.021522,-91.63049,23,
S05S,42.0213,-91.630713,24,
S05S,42.021018,-91.630967,25,
S05S,42.020659,-91.631292,26,
S05S,42.019477,-91.632355,27,
S05S,42.019409,-91.632422,28,
S05S,42.018652,-91.633101,29,
S05S,42.018321,-91.6334,30,
S05S,42.017767,-91.633899,31,
S05S,42.017444,-91.634168,32,
S05S,42.017074,-91.634401,33,
S05S,42.016842,-91.634556,34,
S05S,42.016667,-91.634645,35,
S05S,42.016549,-91.634702,36,
S05S,42.016301,-91.634807,37,
S05S,42.015957,-91.634923,38,
S05S,42.015882,-91.634942,39,
S05S,42.015673,-91.634993,40,
S05S,42.015409,-91.635038,41,
S05S,42.015255,-91.635054,42,
S05S,42.01515,-91.635064,43,
S05S,42.014962,-91.635073,44,
S05S,42.014868,-91.635069,45,
S05S,42.014654,-91.635066,46,
S05S,42.014248,-91.635059,47,
S05S,42.013733,-91.635046,48,
S05S,42.013432,-91.635033,49,
S05S,42.012329,-91.635005,50,
S05S,42.01221,-91.635002,51,
S05S,42.01115,-91.634982,52,
S05S,42.010979,-91.634982,53,
S05S,42.009834,-91.634892,54,
S05S,42.008637,-91.63489,55,
S05S,42.008262,-91.634865,56,
S05S,42.0078,-91.63485,57,
S05S,42.007333,-91.634833,58,
S05S,42.006168,-91.634763,59,
S05S,42.005141,-91.634759,60,
S05S,42.003437,-91.634682,61,
S05S,42.003295,-91.634744,62,
S05S,42.00229,-91.635163,63,
S05S,42.001235,-91.6356,64,
S05S,42.000375,-91.635986,65,
S05S,42.000221,-91.636059,66,
S05S,41.999946,-91.636172,67,
S05S,41.999199,-91.636464,68,
S05S,41.998591,-91.636732,69,
S05S,41.997743,-91.637185,70,
S05S,41.996988,-91.637727,71,
S05S,41.996826,-91.637876,72,
S05S,41.996506,-91.638154,73,
S05S,41.996281,-91.638397,74,
S05S,41.995935,-91.638843,75,
S05S,41.994711,-91.640767,76,
S05S,41.993485,-91.642958,77,
S05S,41.992774,-91.644242,78,
S05S,41.991584,-91.646265,79,
S05S,41.991425,-91.646552,80,
S05S,41.990646,-91.647902,81,
S05S,41.990312,-91.64851,82,
S05S,41.98971,-91.649541,83,
S05S,41.989589,-91.649742,84,
S05S,41.98929,-91.650268,85,
S05S,41.989067,-91.650652,86,
S05S,41.988125,-91.652298,87,
S05S,41.987194,-91.65392,88,
S05S,41.986263,-91.655557,89,
S05S,41.985194,-91.657514,90,
